Region,city,facility_ID,Facilitylicensingtypearname,Facilityclassificationtypearname,Floorscount,RegularRoomsCount,Regularsuitescount,DeluxeSuitesCount,ParkingsCount
0xB74576283864356637DF64230F3987C8,0x3300CBFE6331C95C60370671564AB40F,2350,وحدات سكنية مفروشة,درجة ثانية,6,0,24,24,97
0xB74576283864356637DF64230F3987C8,0x3300CBFE6331C95C60370671564AB40F,2351,وحدات سكنية مفروشة,درجة رابعة,3,4,14,0,20
0xB74576283864356637DF64230F3987C8,0x3300CBFE6331C95C60370671564AB40F,2352,وحدات سكنية مفروشة,درجة ثالثة,2,28,10,10,48
0xB74576283864356637DF64230F3987C8,0x3300CBFE6331C95C60370671564AB40F,2353,وحدات سكنية مفروشة,درجة رابعة,3,34,34,0,45
0xB74576283864356637DF64230F3987C8,0x3300CBFE6331C95C60370671564AB40F,2354,وحدات سكنية مفروشة,درجة رابعة,4,15,10,1,25
0xB74576283864356637DF64230F3987C8,0x938141BAB45ECE02F670CFAEB1FE4B31,2355,وحدات سكنية مفروشة,درجة رابعة,3,0,6,3,21
0xB74576283864356637DF64230F3987C8,0x3300CBFE6331C95C60370671564AB40F,2356,وحدات سكنية مفروشة,درجة رابعة,4,0,17,0,17
0xB74576283864356637DF64230F3987C8,0x3300CBFE6331C95C60370671564AB40F,2357,وحدات سكنية مفروشة,درجة رابعة,6,8,24,2,37
0x2B9EF58D376B99838B5C594123836DEB,0x2EA2161686589987BE8DA1CCF9A8EF2E,2358,فندق,نجمة واحدة,2,23,10,5,45
0x2B9EF58D376B99838B5C594123836DEB,0x2EA2161686589987BE8DA1CCF9A8EF2E,2359,فندق,ثلاثة نجوم,5,80,0,0,90
0x2B9EF58D376B99838B5C594123836DEB,0x2EA2161686589987BE8DA1CCF9A8EF2E,2360,وحدات سكنية مفروشة,درجة رابعة,2,14,2,0,20
0x2B9EF58D376B99838B5C594123836DEB,0x2EA2161686589987BE8DA1CCF9A8EF2E,2361,وحدات سكنية مفروشة,درجة رابعة,3,0,21,2,12
0x2B9EF58D376B99838B5C594123836DEB,0x2EA2161686589987BE8DA1CCF9A8EF2E,2362,وحدات سكنية مفروشة,درجة ثالثة,4,16,8,8,1
0x2B9EF58D376B99838B5C594123836DEB,0x2EA2161686589987BE8DA1CCF9A8EF2E,2363,وحدات سكنية مفروشة,درجة رابعة,3,17,2,1,20
0x2B9EF58D376B99838B5C594123836DEB,0x2EA2161686589987BE8DA1CCF9A8EF2E,2364,وحدات سكنية مفروشة,درجة ثانية,3,4,36,10,40
0x2B9EF58D376B99838B5C594123836DEB,0x2EA2161686589987BE8DA1CCF9A8EF2E,2365,وحدات سكنية مفروشة,درجة رابعة,4,19,2,1,25
0x2B9EF58D376B99838B5C594123836DEB,0x2EA2161686589987BE8DA1CCF9A8EF2E,2366,وحدات سكنية مفروشة,درجة رابعة,3,0,25,0,25
